,account_access,damaged_item,delivery_delay,missing_package,order_status_tracking,other_general,payment_billing,refund_issue,return_replacement,technical_product_issue,wrong_item
account_access,0,0,0,0,1,0,1,0,0,0,0
damaged_item,0,0,1,0,0,0,0,0,0,0,0
delivery_delay,0,0,8,0,2,1,0,0,0,0,0
missing_package,0,0,0,1,0,1,0,0,0,0,0
order_status_tracking,0,0,3,0,2,2,0,0,0,0,0
other_general,0,0,2,1,2,9,1,0,0,0,0
payment_billing,0,0,0,0,0,3,0,0,0,0,0
refund_issue,0,0,0,0,0,0,0,2,0,0,0
return_replacement,0,0,0,0,0,0,0,0,2,0,0
technical_product_issue,0,0,1,0,0,2,0,0,0,1,0
wrong_item,0,0,0,0,0,0,0,0,1,0,0
